,Car_Price,Car_Year,Car_Kms,Car_Model,Car_Fuel,Car_Location,Car_Company
0,12500000,2019,22000,Land Rover Range Rover Sport SE 3.0 Diesel ,Diesel,Delhi,Land Rover
1,1190000,2012,56000,BMW 5 Series 520d Sedan,Diesel,Delhi,BMW
2,1200000,2018,42426,Hyundai Creta SX 1.6 CRDi (O),Diesel,Delhi,Hyundai
3,230000,2013,64717,Hyundai Eon 1.0 Kappa Magna + ,Petrol,Delhi,Hyundai
4,345000,2015,49000,Maruti Suzuki Celerio VXi AMT ABS,Petrol,Delhi,Maruti Suzuki
5,1695000,2020,10300,MG Hector Smart 1.5 DCT Petrol ,Petrol,Delhi,MG
6,310000,2010,73000,Honda City 1.5 V MT,Petrol,Delhi,Honda
7,2600000,2018,17500,Mercedes-Benz CLA 200 D Urban Sport,Diesel,Delhi,Mercedes-Benz
8,215000,2013,56567,Maruti Suzuki Estilo LXi BS-IV,Petrol,Delhi,Maruti Suzuki
9,475000,2019,11733,Tata Tiago Revotron XZ,Petrol,Delhi,Tata
10,925000,2015,790000,Toyota Innova 2.5 G BS IV 7 STR,Diesel,Delhi,Toyota
11,150000,2009,43000,Hyundai Santro Xing GLS,Petrol,Delhi,Hyundai
12,365000,2014,51000,Hyundai Grand i10 Magna 1.2 Kappa VTVT ,Petrol,Delhi,Hyundai
13,595000,2018,19013,Maruti Suzuki Dzire VXi,Petrol,Delhi,Maruti Suzuki
14,265000,2013,68010,Hyundai i20 Magna 1.4 CRDI,Diesel,Delhi,Hyundai
15,735000,2017,42000,Maruti Suzuki Ciaz Zeta 1.4 MT,Petrol,Delhi,Maruti Suzuki
16,550000,2016,49153,Ford EcoSport Titanium 1.5L TDCi,Diesel,Delhi,Ford
17,245000,2016,40822,Datsun redi-GO T ,Petrol,Delhi,Datsun
18,270000,2015,28765,Maruti Suzuki Alto K10 VXi (O) ,Petrol,Delhi,Maruti Suzuki
19,295000,2012,41000,Honda Brio S MT,Petrol,Delhi,Honda
20,525000,2017,27168,Volkswagen Polo Allstar 1.2 (P),Petrol,Delhi,Volkswagen
21,375000,2014,57000,Maruti Suzuki Swift DZire VDI,Diesel,Delhi,Maruti Suzuki
22,400000,2016,33577,Maruti Suzuki Celerio ZXi AMT ,Petrol,Delhi,Maruti Suzuki
23,485000,2015,42000,Honda Jazz V Petrol,Petrol,Delhi,Honda
24,495000,2014,78000,Ford EcoSport Titanium 1.5 TDCi,Diesel,Delhi,Ford
25,880000,2019,5000,Hyundai Elite i20 Asta 1.2 (O) CVT ,Petrol,Delhi,Hyundai
26,250000,2014,4800,Maruti Suzuki Alto 800 Vxi,Petrol,Delhi,Maruti Suzuki
27,1595000,2018,82569,Toyota Innova Crysta 2.8 GX AT 7 STR ,Diesel,Delhi,Toyota
28,585000,2017,14500,Maruti Suzuki Dzire ZXi Plus,Petrol,Delhi,Maruti Suzuki
29,625000,2016,48000,Volkswagen Polo GT TSI,Petrol,Delhi,Volkswagen
30,500000,2012,70000,Hyundai Elantra 1.8 SX MT,Petrol,Delhi,Hyundai
31,375000,2016,61000,Hyundai i10 1.1L iRDE Magna Special Edition,Petrol,Delhi,Hyundai
32,599000,2015,67000,Volkswagen Vento Highline Diesel AT,Diesel,Delhi,Volkswagen
33,699000,2015,80000,Mahindra XUV500 W8 ,Diesel,Delhi,Mahindra
34,450000,2013,41931,Hyundai Verna Fluidic 1.6 VTVT SX,Petrol,Delhi,Hyundai
35,275000,2012,53000,Honda Brio S MT,Petrol,Delhi,Honda
36,625000,2015,48288,Maruti Suzuki Ciaz VXi,Petrol,Delhi,Maruti Suzuki
37,4350000,2017,13000,BMW 5 Series 520d Luxury Line ,Diesel,Delhi,BMW
38,230000,2013,64717,Hyundai Eon 1.0 Kappa Magna + ,Petrol,Delhi,Hyundai
39,365000,2014,40000,Hyundai Grand i10 Magna 1.2 Kappa VTVT ,Petrol,Delhi,Hyundai
40,215000,2013,56567,Maruti Suzuki Estilo LXi BS-IV,Petrol,Delhi,Maruti Suzuki
41,475000,2019,11733,Tata Tiago Revotron XZ,Petrol,Delhi,Tata
42,925000,2015,790000,Toyota Innova 2.5 G BS IV 7 STR,Diesel,Delhi,Toyota
43,150000,2009,43000,Hyundai Santro Xing GLS,Petrol,Delhi,Hyundai
44,365000,2014,51000,Hyundai Grand i10 Magna 1.2 Kappa VTVT ,Petrol,Delhi,Hyundai
45,265000,2013,68010,Hyundai i20 Magna 1.4 CRDI,Diesel,Delhi,Hyundai
46,595000,2018,19013,Maruti Suzuki Dzire VXi,Petrol,Delhi,Maruti Suzuki
47,250000,2014,4800,Maruti Suzuki Alto 800 Vxi,Petrol,Delhi,Maruti Suzuki
48,880000,2019,5000,Hyundai Elite i20 Asta 1.2 (O) CVT ,Petrol,Delhi,Hyundai
49,1595000,2018,82569,Toyota Innova Crysta 2.8 GX AT 7 STR ,Diesel,Delhi,Toyota
50,585000,2017,14500,Maruti Suzuki Dzire ZXi Plus,Petrol,Delhi,Maruti Suzuki
51,375000,2016,61000,Hyundai i10 1.1L iRDE Magna Special Edition,Petrol,Delhi,Hyundai
52,965000,2019,8000,Hyundai Verna EX 1.4 CRDi,Diesel,Delhi,Hyundai
53,165000,2010,70000,Maruti Suzuki Wagon R 1.0 VXi,Petrol,Delhi,Maruti Suzuki
54,550000,2016,49153,Ford EcoSport Titanium 1.5L TDCi,Diesel,Delhi,Ford
55,245000,2016,40822,Datsun redi-GO T ,Petrol,Delhi,Datsun
56,375000,2014,57000,Maruti Suzuki Swift DZire VDI,Diesel,Delhi,Maruti Suzuki
57,270000,2015,28765,Maruti Suzuki Alto K10 VXi (O) ,Petrol,Delhi,Maruti Suzuki
58,485000,2015,42000,Honda Jazz V Petrol,Petrol,Delhi,Honda
59,295000,2012,41000,Honda Brio S MT,Petrol,Delhi,Honda
60,495000,2014,78000,Ford EcoSport Titanium 1.5 TDCi,Diesel,Delhi,Ford
61,525000,2017,27168,Volkswagen Polo Allstar 1.2 (P),Petrol,Delhi,Volkswagen
62,400000,2016,33577,Maruti Suzuki Celerio ZXi AMT ,Petrol,Delhi,Maruti Suzuki
63,735000,2017,42000,Maruti Suzuki Ciaz Zeta 1.4 MT,Petrol,Delhi,Maruti Suzuki
64,599000,2016,68000,Renault Duster 110 PS RXL 4X2 AMT ,Diesel,Delhi,Renault
65,475000,2019,11733,Tata Tiago Revotron XZ,Petrol,Delhi,Tata
66,265000,2016,66170,Renault Kwid RXT ,Petrol,Delhi,Renault
67,375000,2017,77000,Maruti Suzuki Wagon R 1.0 VXI,Petrol,Delhi,Maruti Suzuki
68,550000,2014,65000,Nissan Terrano XV D THP 110 PS,Diesel,Delhi,Nissan
69,370000,2013,62000,Honda Brio VX AT,Petrol,Delhi,Honda
70,6500000,2017,57000,Mercedes-Benz GLS 350 d,Diesel,Delhi,Mercedes-Benz
71,699000,2015,80000,Mahindra XUV500 W8 ,Diesel,Delhi,Mahindra
72,215000,2013,56567,Maruti Suzuki Estilo LXi BS-IV,Petrol,Delhi,Maruti Suzuki
73,150000,2009,43000,Hyundai Santro Xing GLS,Petrol,Delhi,Hyundai
74,925000,2015,790000,Toyota Innova 2.5 G BS IV 7 STR,Diesel,Delhi,Toyota
75,365000,2014,51000,Hyundai Grand i10 Magna 1.2 Kappa VTVT ,Petrol,Delhi,Hyundai
76,265000,2013,68010,Hyundai i20 Magna 1.4 CRDI,Diesel,Delhi,Hyundai
77,595000,2018,19013,Maruti Suzuki Dzire VXi,Petrol,Delhi,Maruti Suzuki
78,250000,2014,4800,Maruti Suzuki Alto 800 Vxi,Petrol,Delhi,Maruti Suzuki
79,585000,2017,14500,Maruti Suzuki Dzire ZXi Plus,Petrol,Delhi,Maruti Suzuki
80,1595000,2018,82569,Toyota Innova Crysta 2.8 GX AT 7 STR ,Diesel,Delhi,Toyota
81,880000,2019,5000,Hyundai Elite i20 Asta 1.2 (O) CVT ,Petrol,Delhi,Hyundai
82,735000,2017,42000,Maruti Suzuki Ciaz Zeta 1.4 MT,Petrol,Delhi,Maruti Suzuki
83,550000,2016,49153,Ford EcoSport Titanium 1.5L TDCi,Diesel,Delhi,Ford
84,245000,2016,40822,Datsun redi-GO T ,Petrol,Delhi,Datsun
85,525000,2017,27168,Volkswagen Polo Allstar 1.2 (P),Petrol,Delhi,Volkswagen
86,375000,2014,57000,Maruti Suzuki Swift DZire VDI,Diesel,Delhi,Maruti Suzuki
87,400000,2016,33577,Maruti Suzuki Celerio ZXi AMT ,Petrol,Delhi,Maruti Suzuki
88,270000,2015,28765,Maruti Suzuki Alto K10 VXi (O) ,Petrol,Delhi,Maruti Suzuki
89,295000,2012,41000,Honda Brio S MT,Petrol,Delhi,Honda
90,485000,2015,42000,Honda Jazz V Petrol,Petrol,Delhi,Honda
91,495000,2014,78000,Ford EcoSport Titanium 1.5 TDCi,Diesel,Delhi,Ford
92,165000,2010,70000,Maruti Suzuki Wagon R 1.0 VXi,Petrol,Delhi,Maruti Suzuki
93,625000,2016,48000,Volkswagen Polo GT TSI,Petrol,Delhi,Volkswagen
94,500000,2012,70000,Hyundai Elantra 1.8 SX MT,Petrol,Delhi,Hyundai
95,2399000,2014,70000,Mercedes-Benz M-Class ML 350 CDI,Diesel,Delhi,Mercedes-Benz
96,475000,2019,11733,Tata Tiago Revotron XZ,Petrol,Delhi,Tata
97,215000,2013,56567,Maruti Suzuki Estilo LXi BS-IV,Petrol,Delhi,Maruti Suzuki
98,495000,2019,38000,Volkswagen Ameo Trendline 1.2L (P),Petrol,Delhi,Volkswagen
99,230000,2013,64717,Hyundai Eon 1.0 Kappa Magna + ,Petrol,Delhi,Hyundai
100,1950000,2021,4000,MG Hector Sharp 1.5 Petrol CVT,Petrol,Delhi,MG
101,5491000,2015,20000,Mercedes-Benz S-Class S 350 CDI,Diesel,Delhi,Mercedes-Benz
102,485000,2015,58000,Maruti Suzuki Baleno Delta 1.2,Petrol,Delhi,Maruti Suzuki
103,925000,2015,790000,Toyota Innova 2.5 G BS IV 7 STR,Diesel,Delhi,Toyota
104,150000,2009,43000,Hyundai Santro Xing GLS,Petrol,Delhi,Hyundai
105,365000,2014,51000,Hyundai Grand i10 Magna 1.2 Kappa VTVT ,Petrol,Delhi,Hyundai
106,595000,2018,19013,Maruti Suzuki Dzire VXi,Petrol,Delhi,Maruti Suzuki
107,265000,2013,68010,Hyundai i20 Magna 1.4 CRDI,Diesel,Delhi,Hyundai
108,735000,2017,42000,Maruti Suzuki Ciaz Zeta 1.4 MT,Petrol,Delhi,Maruti Suzuki
109,550000,2016,49153,Ford EcoSport Titanium 1.5L TDCi,Diesel,Delhi,Ford
110,245000,2016,40822,Datsun redi-GO T ,Petrol,Delhi,Datsun
111,270000,2015,28765,Maruti Suzuki Alto K10 VXi (O) ,Petrol,Delhi,Maruti Suzuki
112,295000,2012,41000,Honda Brio S MT,Petrol,Delhi,Honda
113,525000,2017,27168,Volkswagen Polo Allstar 1.2 (P),Petrol,Delhi,Volkswagen
114,375000,2014,57000,Maruti Suzuki Swift DZire VDI,Diesel,Delhi,Maruti Suzuki
115,400000,2016,33577,Maruti Suzuki Celerio ZXi AMT ,Petrol,Delhi,Maruti Suzuki
